Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/08:51:08,0.49,2.6,117.87,0.0,35.04,0.0,3
14/08:51:08,0.49,2.61,117.88,0.011,35.04,0.0,4
14/08:51:08,0.49,2.62,117.86,0.0,35.04,0.0,5
14/08:51:09,0.49,2.62,117.85,0.011,35.04,0.0,6
14/08:51:09,0.49,2.63,117.85,0.011,35.04,0.0,7
14/08:51:10,0.49,2.63,117.85,0.011,35.04,0.0,8
14/08:51:10,0.49,2.63,117.85,0.011,35.04,0.0,9
14/08:51:11,0.49,2.63,117.85,0.011,35.04,0.0,10
14/08:51:12,0.49,2.63,117.86,0.011,35.04,0.0,11
14/08:51:12,0.49,2.62,117.86,0.011,35.04,0.0,12
14/08:51:14,0.49,2.62,117.86,0.011,35.04,0.0,13
14/08:51:14,0.48,2.62,117.86,0.011,35.04,0.0,14
14/08:51:15,0.49,2.62,117.86,0.011,35.04,0.0,15
14/08:51:15,0.49,2.62,117.86,0.0,35.04,0.0,16
14/08:51:16,0.49,2.61,117.86,0.0,35.04,0.0,17
14/08:51:16,0.49,2.61,117.85,0.011,35.04,0.0,18
14/08:51:17,0.49,2.62,117.85,0.011,35.04,0.0,19
14/08:51:20,0.49,2.62,117.83,0.0,35.05,0.0,20
14/08:51:20,0.49,2.62,117.84,0.011,35.05,0.0,21
14/08:51:21,0.47,2.53,117.91,0.011,35.05,0.0,22
14/08:51:21,0.39,2.33,118.15,0.022,35.05,0.0,23
14/08:51:22,0.32,2.13,118.42,0.011,35.05,0.0,24
14/08:51:22,0.26,1.94,118.66,0.0,35.05,0.0,25
14/08:51:23,0.2,1.77,118.87,0.0,35.05,0.0,26
14/08:51:24,0.14,1.62,119.13,0.011,35.05,0.0,27
14/08:51:24,0.07,1.39,119.36,0.011,35.05,0.0,28
14/08:51:24,0.04,1.28,119.44,0.0,35.05,0.0,29
14/08:51:25,0.1,1.45,119.26,0.011,35.05,0.0,30
14/08:51:26,64.16,17.54,18.29,70.719,147.02,0.0,31
14/08:51:29,0.5,2.59,117.84,0.011,35.05,0.0,32
14/08:51:29,0.5,2.6,117.85,0.011,35.05,0.0,33
14/08:51:30,0.5,2.61,117.84,0.011,35.05,0.0,34
14/08:51:30,0.48,2.56,117.91,0.011,35.05,0.0,35
14/08:51:31,0.41,2.4,118.09,0.011,35.05,0.0,36
14/08:51:31,0.35,2.28,118.32,0.011,35.05,0.0,37
14/08:51:32,0.28,2.14,118.53,0.011,35.05,0.0,38
14/08:51:33,0.23,2.0,118.74,0.022,35.05,0.0,39
14/08:51:33,0.16,1.87,118.92,0.022,35.05,0.0,40
14/08:51:34,0.11,1.73,119.13,0.011,35.05,0.0,41
14/08:51:34,0.0,1.38,119.42,0.011,35.05,0.0,42
14/08:51:35,0.05,1.47,119.27,0.011,35.05,0.0,43
14/08:51:36,0.11,1.6,119.05,0.011,35.05,0.0,44
14/08:51:36,0.17,1.73,118.83,0.011,35.05,0.0,45
14/08:51:37,0.24,1.86,118.62,0.0,35.05,0.0,46
14/08:51:38,1.28,8.28,118.07,0.011,35.05,0.0,47
14/08:51:39,0.5,2.61,117.84,0.011,35.06,0.0,48
14/08:51:40,0.5,2.61,117.84,0.022,35.06,0.0,49
14/08:51:40,0.49,2.62,117.85,0.011,35.06,0.0,50
14/08:51:41,0.49,2.63,117.84,0.0,35.06,0.0,51
14/08:51:41,0.49,2.63,117.84,0.0,35.06,0.0,52
14/08:51:42,0.49,2.63,117.84,0.011,35.06,0.0,53
14/08:51:42,0.49,2.63,117.85,0.011,35.06,0.0,54
14/08:51:43,0.37,2.3,118.19,0.011,35.06,0.0,55
14/08:51:44,0.31,2.14,118.35,0.022,35.06,0.0,56
14/08:51:44,0.24,2.04,118.52,0.022,35.06,0.0,57
14/08:51:45,0.19,1.94,118.68,0.022,35.06,0.0,58
14/08:51:45,0.13,1.85,118.87,0.022,35.06,0.0,59
14/08:51:46,0.05,1.71,119.06,0.011,35.06,0.0,60
14/08:51:47,0.0,1.56,119.2,0.011,35.06,0.0,61
14/08:51:47,0.04,1.67,119.06,0.011,35.06,0.0,62
14/08:51:48,0.1,1.85,118.88,0.0,35.06,0.0,63
14/08:51:48,0.16,1.99,118.71,0.0,35.06,0.0,64
14/08:51:49,0.22,2.09,118.54,0.0,35.06,0.0,65
14/08:51:49,0.28,2.18,118.38,0.022,35.06,0.0,66
14/08:51:50,0.34,2.28,118.2,0.022,35.06,0.0,67
14/08:51:50,0.4,2.41,118.03,0.022,35.06,0.0,68
14/08:51:51,0.48,2.61,117.86,0.022,35.06,0.0,69
14/08:51:51,0.49,2.64,117.85,0.022,35.06,0.0,70
14/08:51:52,0.49,2.65,117.85,0.022,35.06,0.0,71
14/08:51:52,0.49,2.65,117.85,0.022,35.06,0.0,72
14/08:51:53,0.49,2.65,117.86,0.022,35.06,0.0,73
14/08:51:53,0.48,2.66,117.86,0.022,35.06,0.0,74
14/08:51:54,0.49,2.66,117.87,0.022,35.06,0.0,75
14/08:51:54,0.49,2.67,117.86,0.0,35.06,0.0,76
14/08:51:55,0.49,2.68,117.87,0.011,35.06,0.0,77
