,ele,lat,lon,distance,temp
0,38.688,-12.4660184,130.8427841,0.0,0.0
10,40.116,-12.4655233,130.8426266,80.69655894596355,1.0
16,39.141,-12.4647732,130.843397,199.17086081345897,2.0
18,37.385,-12.4643751,130.8437874,260.4598310482221,3.0
22,36.143,-12.4638709,130.8442954,339.12114623405563,4.0
28,33.4,-12.4633258,130.8448378,423.6475922320297,5.0
30,32.157,-12.4628311,130.8453278,500.1740732844883,6.0
36,21.936,-12.4622499,130.8458393,586.1656390180893,7.0
40,18.581,-12.4617756,130.846237,654.6013236049519,8.0
43,20.537,-12.4608635,130.8467056,768.0751454093205,9.0
48,18.793,-12.4605233,130.8468108,807.6412637452287,10.0
53,15.208,-12.4597446,130.8469361,895.4373123017094,11.0
55,15.671,-12.4591043,130.8469257,966.7424225403402,12.0
59,10.233,-12.4583262,130.8467696,1055.0869405814967,13.0
62,10.895,-12.4577485,130.8465523,1123.5430555607215,14.0
65,9.287,-12.4569821,130.8460533,1225.0569499836756,15.0
71,10.666,-12.4565735,130.8455553,1295.9629981858222,16.0
75,9.704,-12.4561754,130.844999,1371.0196556810922,17.0
81,7.59,-12.4556701,130.845114,1445.5972698085027,18.0
85,7.814,-12.4547738,130.8457273,1565.5952778897615,19.0
88,10.148,-12.454274,130.846044,1630.9485751096117,20.0
91,9.035,-12.4537458,130.8463875,1700.5964496816562,21.0
94,6.176,-12.4533269,130.846742,1761.2197951258881,22.0
99,7.529,-12.4526307,130.8473126,1860.9030260529912,23.0
102,12.992,-12.4518384,130.8477867,1963.046495737816,24.0
104,13.613,-12.451419,130.8479866,2014.5527611900834,25.0
108,11.537,-12.4507622,130.8482195,2092.091960122279,26.0
111,5.0,-12.4501385,130.8483813,2163.657610221466,27.0
113,6.607,-12.4487861,130.8487155,2318.3850054035092,28.0
114,6.422,-12.4483338,130.8488304,2370.202776199828,29.0
115,6.054,-12.4478811,130.8489474,2422.1190483690007,30.0
117,10.492,-12.4470463,130.8490761,2516.001019305294,31.0
119,11.108,-12.4465242,130.8491366,2574.4503470328204,32.0
121,9.042,-12.4458507,130.8491695,2649.4427526065147,33.0
123,11.297,-12.445062,130.8491598,2737.148604801461,34.0
127,12.405,-12.4429804,130.8490091,2969.2312722622587,37.0
132,12.758,-12.4421454,130.8490035,3062.176444187199,38.0
135,6.316,-12.4415469,130.8490515,3128.9397666281443,39.0
137,3.976,-12.4408186,130.8491707,3210.9735864916506,40.0
139,2.514,-12.4401687,130.8493233,3285.188759400527,41.0
145,6.561,-12.4393394,130.8496091,3382.557544000198,42.0
147,8.583,-12.4384297,130.8500769,3495.7604402574793,43.0
149,10.672,-12.438128,130.8502592,3534.7378472355263,44.0
150,19.234,-12.4370071,130.8511701,3693.8541271315084,46.0
152,21.992,-12.4365649,130.8516285,3763.839364004823,47.0
153,24.008,-12.43605,130.8522922,3855.8823406873853,48.0
156,22.163,-12.4357131,130.8527817,3920.933690306533,49.0
158,23.004,-12.4353533,130.8534513,4003.966024130603,50.0
161,19.896,-12.434584,130.8553354,4225.858773364858,52.0
162,18.222,-12.434375,130.8558867,4290.075282648364,53.0
163,17.069,-12.4340136,130.8568105,4398.137693449579,54.0
164,17.292,-12.4338753,130.8571624,4439.327807076279,55.0
166,15.638,-12.4336554,130.8577456,4507.219228203859,56.0
168,17.998,-12.4334557,130.8583389,4575.484488009641,57.0
170,16.62,-12.4332056,130.8589796,4650.412871275467,58.0
174,11.001,-12.4329871,130.859584,4720.401551738816,59.0
177,5.69,-12.4327627,130.8603848,4810.8718798284335,60.0
181,4.474,-12.4326207,130.8610158,4881.195360184801,61.0
184,4.491,-12.4325152,130.8618002,4967.189414583849,62.0
186,3.081,-12.4324762,130.8625144,5044.873327954418,63.0
188,6.359,-12.4324538,130.8633676,5137.557421452726,64.0
