ele,lat,lon,name
17.0,-32.4925016,137.7705481,Route10
17.0,-32.4925016,137.7705481,Route10
17.018,-32.4925107,137.7704274,Route10
17.78,-32.4924428,137.7701981,Route10
17.945,-32.4924587,137.7701672,Route10
19.399,-32.4929157,137.7697801,Route10
18.92,-32.4931125,137.7696134,Route10
18.783,-32.4931679,137.7695731,Route10
18.669,-32.4932165,137.7695637,Route10
18.62,-32.4932697,137.7695852,Route10
19.367,-32.4937131,137.7698239,Route10
19.957,-32.4938769,137.769912,Route10
19.994,-32.4938952,137.7699218,Route10
19.979,-32.4940287,137.7700117,Route10
19.491,-32.4941486,137.7701511,Route10
18.717,-32.4942323,137.7703054,Route10
18.185,-32.4942708,137.7704408,Route10
17.677,-32.4942889,137.7705575,Route10
17.469,-32.4942911,137.7706715,Route10
16.892,-32.4943183,137.7707949,Route10
17.149,-32.4943152,137.7709828,Route10
17.287,-32.4943117,137.7711961,Route10
17.271,-32.4943115,137.7712066,Route10
17.299,-32.4942991,137.7712549,Route10
17.467,-32.4942708,137.7712924,Route10
16.184,-32.4938138,137.7716907,Route10
16.335,-32.4937516,137.7717108,Route10
16.566,-32.4936928,137.7717055,Route10
16.895,-32.4936136,137.7716934,Route10
16.99,-32.4934824,137.7716719,Route10
16.965,-32.4933874,137.7717162,Route10
16.247,-32.4930551,137.7720127,Route10
16.645,-32.4929771,137.7720849,Route10
16.736,-32.492962,137.7721116,Route10
17.0,-32.4928633,137.7722863,Route10
17.0,-32.4928092,137.7723368,Route10
17.132,-32.4926266,137.772672,Route10
16.109,-32.4926085,137.7728642,Route10
16.09,-32.4925983,137.7728717,Route10
16.023,-32.4925779,137.7728903,Route10
15.844,-32.4925503,137.7729266,Route10
13.237,-32.4923183,137.7733484,Route10
12.816,-32.4933253,137.7741388,Route10
12.358,-32.4934457,137.7743165,Route10
12.324,-32.4934449,137.7743236,Route10
12.289,-32.4934437,137.7743306,Route10
12.254,-32.4934428,137.7743376,Route10
12.221,-32.4934422,137.7743446,Route10
12.188,-32.4934419,137.7743517,Route10
12.158,-32.4934419,137.7743587,Route10
12.128,-32.4934422,137.7743658,Route10
12.101,-32.4934428,137.7743728,Route10
12.076,-32.4934438,137.7743798,Route10
12.069,-32.4934446,137.7743824,Route10
12.052,-32.493445,137.7743868,Route10
12.032,-32.4934465,137.7743936,Route10
12.014,-32.4934483,137.7744004,Route10
11.999,-32.4934505,137.774407,Route10
11.988,-32.4934529,137.7744135,Route10
11.979,-32.4934555,137.7744198,Route10
11.973,-32.4934623,137.774433,Route10
11.975,-32.4934658,137.7744388,Route10
11.982,-32.4934696,137.7744443,Route10
11.982,-32.4934736,137.7744496,Route10
11.985,-32.4934778,137.7744546,Route10
11.989,-32.4934822,137.7744594,Route10
11.997,-32.4934869,137.7744638,Route10
12.007,-32.4934917,137.774468,Route10
12.019,-32.4934967,137.7744719,Route10
12.034,-32.4935019,137.7744755,Route10
12.051,-32.4935072,137.7744788,Route10
12.067,-32.4935129,137.7744826,Route10
12.092,-32.4935182,137.7744843,Route10
12.117,-32.4935239,137.7744865,Route10
12.143,-32.4935296,137.7744884,Route10
12.172,-32.4935354,137.77449,Route10
12.203,-32.4935413,137.7744912,Route10
12.237,-32.4935473,137.774492,Route10
12.286,-32.4935549,137.7744922,Route10
12.317,-32.49356,137.7744926,Route10
12.359,-32.493566,137.7744922,Route10
12.403,-32.4935719,137.7744915,Route10
12.448,-32.4935778,137.7744905,Route10
12.497,-32.4935837,137.7744891,Route10
12.548,-32.4935895,137.7744873,Route10
12.581,-32.4935933,137.7744862,Route10
9.989,-32.4938943,137.7748374,Route10
10.0,-32.4945413,137.7753584,Route10
8.398,-32.4954449,137.7760605,Route10
10.0,-32.4963169,137.7767551,Route10
12.293,-32.4970162,137.7773036,Route10
12.386,-32.4970483,137.7773294,Route10
12.526,-32.4973806,137.7775925,Route10
11.55,-32.4976798,137.7778294,Route10
11.429,-32.4980105,137.7780846,Route10
10.944,-32.4981612,137.7782009,Route10
9.948,-32.4987642,137.7786663,Route10
11.396,-32.4989535,137.778805,Route10
12.133,-32.4991099,137.7789195,Route10
11.801,-32.4991708,137.7788648,Route10
10.958,-32.4992582,137.7787838,Route10
10.068,-32.4997032,137.7783708,Route10
9.778,-32.4997663,137.7783123,Route10
9.07,-32.4999413,137.7781471,Route10
9.0,-32.500235,137.7785708,Route10
9.347,-32.5004075,137.7787922,Route10
10.405,-32.5006856,137.7791492,Route10
11.261,-32.5007911,137.7792662,Route10
11.998,-32.5008954,137.7793818,Route10
12.715,-32.5009831,137.7794779,Route10
13.56,-32.501104,137.7796031,Route10
13.617,-32.5012147,137.7797178,Route10
13.602,-32.5013493,137.7798498,Route10
13.735,-32.5014361,137.7799264,Route10
14.092,-32.5017122,137.7801558,Route10
14.031,-32.5021043,137.7804678,Route10
12.916,-32.50224,137.7805432,Route10
11.51,-32.5031827,137.7812763,Route10
13.225,-32.5033657,137.7814231,Route10
13.922,-32.5035486,137.78157,Route10
13.736,-32.503681,137.7816713,Route10
13.454,-32.503735,137.7817167,Route10
13.022,-32.5038731,137.7818393,Route10
13.464,-32.5040178,137.7819796,Route10
13.839,-32.5042115,137.7821945,Route10
12.28,-32.5044102,137.7824565,Route10
10.928,-32.5045934,137.7827395,Route10
10.71,-32.5047473,137.783022,Route10
10.342,-32.5048854,137.7833528,Route10
8.897,-32.5049949,137.7836442,Route10
8.0,-32.5050866,137.7838931,Route10
8.0,-32.5050982,137.7840114,Route10
8.0,-32.5051034,137.7840574,Route10
8.049,-32.5051666,137.7844541,Route10
9.198,-32.5052295,137.7847604,Route10
9.064,-32.5052985,137.7850403,Route10
9.077,-32.5053141,137.7851146,Route10
