,ele,lat,lon,distance
0,38.688,-12.4660184,130.8427841,0.0
1,40.116,-12.4655233,130.8426266,80.69655894596355
2,39.141,-12.4647732,130.843397,199.17086081345897
3,37.385,-12.4643751,130.8437874,260.4598310482221
4,36.143,-12.4638709,130.8442954,339.12114623405563
5,33.4,-12.4633258,130.8448378,423.6475922320297
6,32.157,-12.4628311,130.8453278,500.1740732844883
7,21.936,-12.4622499,130.8458393,586.1656390180893
8,18.581,-12.4617756,130.846237,654.6013236049519
9,20.537,-12.4608635,130.8467056,768.0751454093205
10,18.793,-12.4605233,130.8468108,807.6412637452287
11,15.208,-12.4597446,130.8469361,895.4373123017094
12,15.671,-12.4591043,130.8469257,966.7424225403402
13,10.233,-12.4583262,130.8467696,1055.0869405814967
14,10.895,-12.4577485,130.8465523,1123.5430555607215
15,9.287,-12.4569821,130.8460533,1225.0569499836756
16,10.666,-12.4565735,130.8455553,1295.9629981858222
17,9.704,-12.4561754,130.844999,1371.0196556810922
18,7.59,-12.4556701,130.845114,1445.5972698085027
19,7.814,-12.4547738,130.8457273,1565.5952778897615
20,10.148,-12.454274,130.846044,1630.9485751096115
21,9.035,-12.4537458,130.8463875,1700.5964496816562
22,6.176,-12.4533269,130.846742,1761.219795125888
23,7.529,-12.4526307,130.8473126,1860.9030260529912
24,12.992,-12.4518384,130.8477867,1963.046495737816
25,13.613,-12.451419,130.8479866,2014.5527611900836
26,11.537,-12.4507622,130.8482195,2092.091960122279
27,5.0,-12.4501385,130.8483813,2163.657610221466
28,6.607,-12.4487861,130.8487155,2318.385005403509
29,6.422,-12.4483338,130.8488304,2370.202776199828
30,6.054,-12.4478811,130.8489474,2422.1190483690007
31,10.492,-12.4470463,130.8490761,2516.001019305294
32,11.108,-12.4465242,130.8491366,2574.4503470328204
33,9.042,-12.4458507,130.8491695,2649.4427526065147
34,11.297,-12.445062,130.8491598,2737.148604801461
35,11.6663333,-12.4443681,130.8491096,2814.509494
36,12.0356667,-12.4436743,130.8490593,2891.8703831
37,12.405,-12.4429804,130.8490091,2969.2312722622587
38,12.758,-12.4421454,130.8490035,3062.176444187199
39,6.316,-12.4415469,130.8490515,3128.9397666281443
40,3.976,-12.4408186,130.8491707,3210.9735864916506
41,2.514,-12.4401687,130.8493233,3285.188759400527
42,6.561,-12.4393394,130.8496091,3382.557544000198
43,8.583,-12.4384297,130.8500769,3495.76044025748
44,10.672,-12.438128,130.8502592,3534.7378472355263
45,14.953,-12.4375676,130.8507146,3614.2959872
46,19.234,-12.4370071,130.8511701,3693.854127131509
47,21.992,-12.4365649,130.8516285,3763.839364004823
48,24.008,-12.43605,130.8522922,3855.882340687385
49,22.163,-12.4357131,130.8527817,3920.933690306533
50,23.004,-12.4353533,130.8534513,4003.966024130603
51,21.45,-12.4349686,130.8543934,4114.9123987
52,19.896,-12.434584,130.8553354,4225.858773364858
53,18.222,-12.434375,130.8558867,4290.075282648364
54,17.069,-12.4340136,130.8568105,4398.137693449579
55,17.292,-12.4338753,130.8571624,4439.327807076279
56,15.638,-12.4336554,130.8577456,4507.219228203859
57,17.998,-12.4334557,130.8583389,4575.484488009641
58,16.62,-12.4332056,130.8589796,4650.412871275467
59,11.001,-12.4329871,130.859584,4720.401551738816
60,5.69,-12.4327627,130.8603848,4810.8718798284335
61,4.474,-12.4326207,130.8610158,4881.195360184801
62,4.491,-12.4325152,130.8618002,4967.189414583849
63,3.081,-12.4324762,130.8625144,5044.873327954418
64,6.359,-12.4324538,130.8633676,5137.557421452726
65,6.67325,-12.4324478,130.8640962,5216.6849718
66,6.9875,-12.4324417,130.8648248,5295.8125221
67,7.30175,-12.4324356,130.8655535,5374.9400724
68,7.616,-12.4324296,130.8662821,5454.067622766966
69,7.19,-12.4324397,130.8669791,5529.76751166872
70,8.6003333,-12.432433,130.8679283,5632.8414308
71,10.0106667,-12.4324263,130.8688775,5735.91535
72,11.421,-12.4324196,130.8698267,5838.989269128945
73,13.318,-12.4324162,130.8704103,5902.3620148
74,15.215,-12.4324129,130.8709939,5965.734760458525
75,19.334,-12.4324144,130.8715053,6021.266646618266
76,18.29,-12.4324221,130.8720639,6081.931065541308
77,16.634,-12.4324255,130.8731571,6200.639492661165
78,16.306,-12.4324199,130.8735339,6241.559990584346
79,20.677,-12.4323987,130.8744762,6343.911842648734
80,23.909,-12.4323954,130.8752128,6423.898404599665
81,23.488,-12.4323915,130.8757359,6480.702173551952
82,23.372,-12.4323937,130.8767924,6595.4323899
83,23.256,-12.4323959,130.877849,6710.162606271635
84,22.0938,-12.432392,130.8784725,6777.8726518
85,20.9316,-12.4323881,130.8790961,6845.5826973
86,19.7694,-12.4323841,130.8797196,6913.2927429
87,18.6072,-12.4323802,130.8803432,6981.0027884
88,17.445,-12.4323763,130.8809667,7048.712833926537
89,16.504,-12.432371,130.8818704,7146.848743
90,15.563,-12.4323657,130.8827742,7244.9846522
91,14.622,-12.4323604,130.8836779,7343.120561275688
92,15.424,-12.4323724,130.8841878,7398.505401675492
93,15.2553333,-12.4323683,130.8849381,7479.9798968
94,15.0866667,-12.4323641,130.8856884,7561.4543919
95,14.918,-12.43236,130.8864387,7642.92888706941
96,15.5775,-12.4323626,130.8871762,7723.0181384
97,16.237,-12.4323653,130.8879138,7803.107389797132
98,16.021,-12.4323611,130.8884664,7863.114658532382
99,17.26,-12.4323612,130.8891198,7934.0711616
100,18.499,-12.4323614,130.8897733,8005.027664603619
101,19.022,-12.4323615,130.8905676,8091.281402255254
102,18.388,-12.4324107,130.8913313,8174.697957848407
103,22.092,-12.4325427,130.8921102,8260.550968872907
104,23.743,-12.4326885,130.8927513,8332.032111858889
105,24.79,-12.4328753,130.8933939,8404.845966092142
106,28.586,-12.4330998,130.8941042,8485.914797373205
107,25.403,-12.4335464,130.8950471,8599.82573265372
108,25.298,-12.4337411,130.8954106,8644.84457072869
109,17.047,-12.434472,130.896535,8791.59784766661
110,15.233,-12.4348317,130.8969893,8855.105953816543
